site,basin_areasqkm,springprev_point,springprev_basinmean,springprev_iew01km,springprev_iew05km,springprev_basinmean_log,springprev_iew01km_log,springprev_iew05km_log,springprev_point_norm,springprev_basinmean_norm,springprev_iew01km_norm,springprev_iew05km_norm,springprev_basinmean_log_norm,springprev_iew01km_log_norm,springprev_iew05km_log_norm
13,14.155197807223614,0.1254359930753708,0.06062365421317747,0.03872536165585808,0.05373713177236198,-2.8030701285164072,-3.2512605536431987,-2.923651049523536,0.13567378179189699,0.1495942614859478,0.08362211437023868,0.13173758202365698,0.6243790527705875,0.5221766035371561,0.5998227680500224
14,15.201319696303434,0.10535600036382677,0.05931765157570581,0.03872428968486268,0.05241981061113284,-2.8248483515772302,-3.251288235394554,-2.948470694005787,0.11360861735683443,0.14621836980746486,0.08361962127561055,0.12833347844603224,0.6199821192198858,0.522171123473573,0.5948099440490483
15,15.43108639803357,0.05687950178980827,0.05859876344076779,0.03963863839906907,0.05179201220395309,-2.837041684315196,-3.227950919276061,-2.9605193461643347,0.06033957848627474,0.1443601128615251,0.08574613204633218,0.12671117792676198,0.6175203355536657,0.5267911337665357,0.5923764775760315
16,15.795106082823423,0.11511199921369553,0.05764710347097765,0.03940329945919264,0.05081263415845129,-2.8534152768774845,-3.2339057235653637,-2.979610251412869,0.12432912517489143,0.1419001630263705,0.08519880170874668,0.12418035673701573,0.6142145746437154,0.5256122811097232,0.5885206871315467
17,16.459900974842654,0.15554499626159668,0.05695134874900763,0.03995463026698826,0.05017698546817904,-2.865557906331498,-3.220010711934273,-2.99219881421709,0.16875945646437607,0.14010170373634112,0.08648103777775634,0.12253777021798547,0.6117630277617232,0.5283630300146329,0.5859781748966154
18,17.286931700605972,0.10062000155448914,0.05642908966776666,0.04111778969522593,0.049801786081017,-2.874770479192762,-3.191314411827955,-2.999704430514004,0.10840440269433518,0.138751714053482,0.08918621033805314,0.12156821350413963,0.6099030472394903,0.5340439404152972,0.5844622654506852
19,17.85160298236236,0.09075059741735458,0.05566243613158112,0.04038504207686651,0.04897620469304617,-2.888449755757726,-3.2092958081949816,-3.016420717331628,0.09755927798287231,0.1367699881221326,0.08748205121533337,0.11943481988751414,0.6071412576338904,0.5304842236134292,0.5810860767294295
20,18.08654570271692,0.08904699981212616,0.05492576942369118,0.03977071030620034,0.04818717919406738,-2.9017726521852554,-3.224624559569999,-3.03266228513201,0.0956872573187944,0.13486577526863058,0.08605329312028648,0.11739589073116115,0.6044514197104232,0.5274496420543814,0.5778057670158304
21,19.230364943324187,0.12568600475788116,0.05458523548509192,0.04066313515953938,0.0479702640048588,-2.9079918451602467,-3.202433367027026,-3.037173959942371,0.13594851042175882,0.13398552766684638,0.08812881532882623,0.11683535789121412,0.603195790260139,0.5318427581025635,0.5768945439807809
22,19.332672186438657,0.15699000656604767,0.05420736106181715,0.04115317665710527,0.04767181476308135,-2.9149385668096244,-3.1904541578251004,-3.0434149411994524,0.17034732506752254,0.13300875849009003,0.08926851018100185,0.11606413204168319,0.6017932757665446,0.534214242018428,0.5756340528944763
23,20.353480109436855,0.18390600383281708,0.05419057136342022,0.04447204826317492,0.04811797799757709,-2.9152483457538447,-3.112894416082976,-3.034099408759,0.19992432313503297,0.13296535872849982,0.0969872460498163,0.11721706718571023,0.6017307326734126,0.5495684842692841,0.5775155111334429
24,20.492909111119612,0.08861300349235535,0.05429671059559394,0.04731791758732019,0.048687364005350967,-2.9132916322272093,-3.050866247870716,-3.022335748569942,0.09521035474728852,0.13323971847355326,0.1036059153559943,0.1186884236044472,0.6021257850764644,0.5618479929385427,0.5798914177737328
25,21.01156235230059,0.17483800649642944,0.05462072523720519,0.05118136575734829,0.04964846662985892,-2.9073418851557205,-2.9723797632343603,-3.0027877725558003,0.1899598348407184,0.1340772652754798,0.11259117887530733,0.1211720190850659,0.6033270145084413,0.5773856993756203,0.5838395228082037
26,21.586828297180848,0.1414400041103363,0.05463869433568566,0.05214241725452215,0.05000018434538782,-2.9070129597648897,-2.953776510705187,-2.995728586653031,0.15326000008290533,0.13412371367327747,0.11482630681742093,0.12208089656231588,0.6033934231902967,0.5810685229587169,0.5852652667001456
27,21.84045320975609,0.2136089950799942,0.05468052882992851,0.05307434513566633,0.05037210123233585,-2.906247595813819,-2.9360616099396606,-2.988317804145967,0.2325638462413036,0.13423185183237138,0.11699370164829673,0.12304197093256099,0.6035479470201592,0.584575482519105,0.5867620225639927
28,22.383530788818753,0.0682092010974884,0.05462959142236674,0.05291954285497011,0.05051388613850439,-2.907179575599976,-2.938982578189736,-2.9855070074592893,0.07278936777728659,0.13410018351457673,0.11663367629678902,0.12340835881164978,0.6033597841393363,0.5839972282197569,0.5873297192166548
29,22.737441062232115,0.14513300359249115,0.05448348477465047,0.05212718749337691,0.05045113934384181,-2.909857654894098,-2.954068633443935,-2.986749948813307,0.1573181011989232,0.13372251182996875,0.1147908867959262,0.12324621415438482,0.6028190909584978,0.5810106923987257,0.5870786823311072
30,23.111570158397853,0.06405709683895111,0.05437443307197197,0.05175721413790571,0.05045293577324807,-2.911861215890227,-2.9611914529214136,-2.986714342136285,0.06822677333154865,0.13344062362772938,0.11393043573052236,0.12325085632665744,0.6024145802442787,0.5796006116879113,0.5870858738122461
31,23.20053297849519,0.10220199823379517,0.0544185225889163,0.05261747119047503,0.05071597694106412,-2.911050694306542,-2.944707062478535,-2.9815142909844123,0.11014280057953672,0.13355459080443344,0.11593114493419382,0.12393058379690451,0.6025782212142018,0.5828639712418818,0.5881361282282206
32,23.718862718512963,0.11591099947690964,0.054450245102106803,0.05345527016651743,0.05103421670495247,-2.910467928197196,-2.9289100464368927,-2.975258955437808,0.12520711713657887,0.1336365904614232,0.11787962314450118,0.12475295054442112,0.6026958792917795,0.5859912535883147,0.5893995184506143
33,24.284504503769817,0.24562600255012512,0.05477894064551837,0.05656539288660073,0.05191344194804993,-2.904449453678144,-2.872357913873374,-2.9581775252719926,0.2677461565486634,0.134486236945986,0.1251128694538849,0.12702496581575665,0.6039109845123917,0.5971866898246784,0.592849455179861
34,99.85591304441186,0.08964250236749649,0.03909967255735101,0.06210352360257994,0.04688732833414851,-3.241641186518185,-2.7789525508701156,-3.060007824809338,0.09634163314424937,0.0939568313040346,0.13799296042378992,0.11403693234435454,0.5358333622471158,0.6156778366344444,0.5722827879211008
35,100.3638098718922,0.09716899693012238,0.03927372423925588,0.06336382178908428,0.04716218532920368,-3.237199578136816,-2.7588622146542123,-3.054162865769017,0.10461222081475528,0.09440673822436527,0.14092404965296715,0.11474719321902953,0.5367301046882496,0.6196550531933359,0.5734632943938257
36,100.41112191712875,0.12060300260782242,0.03939580945102738,0.0634932826626105,0.04738329553309588,-3.2340958274457603,-2.7568211635198816,-3.049485527307424,0.13036298656843873,0.09472231679875706,0.14122513821760682,0.11531856644089175,0.5373567391711641,0.620059113248965,0.5744079765192172
37,101.75939389338085,0.11077000200748444,0.03953922465782227,0.06285213447668328,0.04749915448818527,-3.230462070490544,-2.766970383079705,-3.047043368348699,0.11955786436280208,0.09509303136647346,0.13973401289329745,0.11561795879495647,0.5380903797361848,0.61804990625216,0.5749012194039509
38,101.9559208505101,0.07940839976072311,0.03967639399004844,0.06271258958331236,0.04773481282896347,-3.2269988779619783,-2.7691930606966073,-3.0420943185838527,0.08509575471651797,0.09544760094690086,0.13940947181379254,0.11622692601157028,0.5387895840458689,0.6176098902102173,0.5759007790656929
39,102.03307587812373,0.15326499938964844,0.03985982954724805,0.0648562836194703,0.04802445993162147,-3.2223862404924306,-2.735581478241807,-3.0360448159582347,0.16625405187515807,0.09592176428571837,0.1443950843992252,0.11697540616009137,0.5397208565555881,0.6242638625914241,0.5771225972096772
40,102.28653904011868,0.0827523022890091,0.03993114132927265,0.06313407839989484,0.04803036305979033,-3.2205987750629923,-2.762494585491219,-3.0359219043127297,0.08877024604733569,0.09610609840925481,0.140389732948604,0.11699066049617145,0.5400817384647992,0.6189359649070214,0.577147421676725
41,102.838674651773,0.1274159997701645,0.04011958572852369,0.06395113015881389,0.04845624811171711,-3.215890641751193,-2.7496360785753056,-3.027093988965826,0.1378495382242203,0.09659320912483492,0.1422899591299099,0.11809119457365347,0.5410322911918061,0.621481520445714,0.5789303958833527
42,103.40326505824282,0.1203410029411316,0.04030099164643442,0.06546208311553424,0.04880765629092255,-3.2113792037209614,-2.726284187691111,-3.0198680872217447,0.13007508478428415,0.09706212604056792,0.14580399889023077,0.1189992721748086,0.5419431319514785,0.6261044160562179,0.5803898113764842
43,103.89070043709852,0.01232399977743625,0.04025613984733558,0.06013733053654635,0.04841941983406585,-3.212492743960087,-2.811124489893666,-3.0278543094922563,0.011379178325145728,0.09694618843753529,0.133420163779276,0.11799602623095909,0.5417183127628884,0.6093088656405781,0.5787768339342262
44,104.0032788421698,0.20131300389766693,0.0401986127165099,0.0550237236173736,0.0480040007567988,-3.213922793492184,-2.8999908482516723,-3.0364709224476143,0.21905223439823,0.09679748631652167,0.12152739243076963,0.11692253738954485,0.5414295916514699,0.5917162903749602,0.5770365364750659
45,113.82711956461397,0.1658650040626526,0.04078986845540411,0.057565783246912,0.04821850609016995,-3.199321550580545,-2.854826928644688,-3.0320123878336753,0.1800997329461755,0.09832582574824932,0.12743948821877749,0.11747684289547554,0.5443775224656979,0.6006572402423472,0.5779370267837772
46,114.1159252287728,0.17483499646186829,0.0409623592187944,0.05869334909185327,0.04862553053840543,-3.1951017017944947,-2.8354288619429817,-3.0236065662875133,0.18995652722460016,0.09877169784378488,0.13006188039444383,0.11852863908701804,0.5452294925577689,0.6044974105245865,0.5796347506985834
47,114.13994519019953,0.1406320035457611,0.04107496784319176,0.06028883636297896,0.04890977291851906,-3.1923563979394096,-2.8086083273308917,-3.0177780472852587,0.15237211802153758,0.09906278034784813,0.1337725225311726,0.11926315283471685,0.5457837581006271,0.609806981914093,0.580811936776552
48,114.26255213135497,0.09272290021181108,0.04128163224248008,0.06231768983868057,0.04936977031915457,-3.187337617832791,-2.7755099474475418,-3.0084169789572575,0.0997265688828534,0.09959698801770918,0.13849104917342872,0.12045183699412138,0.546797029136228,0.6163593573014365,0.5827025918994696
49,117.09092280819574,0.16932600736618042,0.04131440481281531,0.05831197053748276,0.04895015291735888,-3.1865440550125035,-2.8419478801588567,-3.016952786060367,0.1839029020060294,0.099681701971803,0.12917490413364704,0.11936749921778632,0.5469572462016592,0.6032068623268232,0.5809786147996062
50,117.8473494049174,0.14197500050067902,0.04142148266180711,0.05752196695724775,0.04901318078073609,-3.183955627860879,-2.855588370096164,-3.0156660215190936,0.15384788791208218,0.0999584879513942,0.1273375841963226,0.11953037018769636,0.5474798389841253,0.600506500228995,0.5812385026549988
51,118.27534144488683,0.10104600340127944,0.04151110986009571,0.05686393522309112,0.04911973455099284,-3.18179418010055,-2.867093966165527,-3.0134943992500176,0.10887252043392302,0.10019016567101502,0.1258071926198711,0.11980571691499098,0.5479162263858403,0.5982287759184002,0.5816771052401107
52,118.46936126799646,0.10154300183057784,0.04162153334377774,0.05733132586836766,0.04931428319575911,-3.17913761718212,-2.858908105373615,-3.009541519899112,0.10941865370319122,0.10047559979570632,0.12689420813799077,0.12030845213033739,0.5484525754990334,0.5998493033570897,0.5824754683470982
53,118.5940709667174,0.11588999629020692,0.04171691692575839,0.05815852142218618,0.04954925089093173,-3.1768485507710795,-2.844582868669679,-3.0047881365659976,0.12518403750826856,0.10072215721560233,0.1288180258536583,0.1209156346423203,0.5489147285807784,0.602685222478435,0.5834355092564313
54,118.87567872997828,0.17316100001335144,0.04179830408000547,0.05730048132067186,0.04958350189366906,-3.1748995125231754,-2.8594462552849977,-3.004097123694103,0.18811703418140796,0.10093253521092553,0.1268224726372195,0.12100414302158796,0.549308231376662,0.5997427676219127,0.5835750731374406
55,118.937871828757,0.1044130027294159,0.04190657693550614,0.05867177517345787,0.04990979757362838,-3.1723124969376295,-2.8357964995827567,-2.9975379513367666,0.11257239198743035,0.10121241016783827,0.13001170569728324,0.12184732714722414,0.5498305391697499,0.6044246305326108,0.5848998292854546
56,119.0338707991762,0.1007630005478859,0.04195078733082346,0.05820875502070839,0.04990547332179911,-3.1712580779298247,-2.8437195056491102,-2.997624596432115,0.10856153902145815,0.10132668980355411,0.12893485468127067,0.12183615280223083,0.5500434220252044,0.6028561395633877,0.5848823295741336
57,119.9503495967876,0.1008180007338524,0.0420317734325579,0.05814126398300942,0.05007899936041979,-3.16932943640945,-2.8448796437538855,-2.994153533212202,0.10862197670013382,0.10153603111656045,0.12877789003926468,0.12228456327817623,0.5504328068057959,0.6026264709091985,0.5855833802692845
58,119.97720019339958,0.1148110032081604,0.04209269204886296,0.05901659836768613,0.05021785795315511,-3.167881138899211,-2.829936546375927,-2.991384579424917,0.1239983717502345,0.10169349990257079,0.1308136647585561,0.12264338923970045,0.5507252121088541,0.605584705838373,0.5861426259108735
59,128.3015321454183,0.01492560002952814,0.04157295699322676,0.04757611005241893,0.04686679499402929,-3.180305395381722,-3.045424533388597,-3.060445850140248,0.014237981023998586,0.10035003458405133,0.104206396386285,0.11398387192247897,0.5482168058895813,0.562925270925056,0.5721943199378711
60,128.35814484911668,0.10690200328826904,0.04150717608028866,0.04602522291352037,0.04652596137479848,-3.1818889490966917,-3.0785657085608653,-3.0677448130499347,0.11530746303048325,0.10017999722714317,0.10059948126320321,0.11310312015385496,0.547897092915789,0.5563644234977277,0.5707201482799305
61,128.74885337993572,0.12730099260807037,0.041520291582676,0.04607690382474783,0.04641004259511804,-3.1815730174450203,-3.077443456155154,-3.070239407929042,0.1377231610895634,0.100213899544105,0.10071967612174938,0.1128035732064303,0.5479608782152179,0.5565865920469887,0.5702163149115017
62,128.86046128151594,0.16245700418949127,0.04164379175000278,0.04879742382731739,0.04678380310312263,-3.1786029791024593,-3.020077757940323,-3.0622182235007647,0.17635480740380988,0.10053313564302811,0.10704681914447352,0.11376941169739185,0.5485605167256146,0.5679430871499322,0.571836353661334
63,128.95193123563962,0.25086700916290283,0.04179813773744034,0.05238250693987782,0.04730893384894343,-3.1749034921797614,-2.9491825804163576,-3.051056125020117,0.2735053056866861,0.10093210523133339,0.11538468601554899,0.11512640762456683,0.5493074279003859,0.5819779679485256,0.5740907628735628
64,129.0320786490153,0.18131400644779205,0.0419262307885031,0.05529412844089187,0.04773896719445465,-3.1718436147925453,-2.895088552566704,-3.042007292271649,0.19707607267312174,0.10126321349463017,0.1221562758761472,0.11623766135147637,0.5499252045439307,0.5926867814292316,0.5759183557713884
65,129.12015184091803,0.2318200021982193,0.04209365580827385,0.05913658494299855,0.04836399684883923,-3.167858243039361,-2.827905511524444,-3.0289996088252287,0.25257525124349367,0.10169599112830183,0.13109271884457332,0.11785280710729713,0.55072983468867,0.6059867830040409,0.578545517809262
66,133.2632312482477,0.21667400002479553,0.04238122265906328,0.05827867071516118,0.04865699567511381,-3.1610498766510258,-2.8425191065089184,-3.022959684693659,0.2359318672895603,0.10243932388333131,0.12909745837391695,0.11860994848034737,0.5521044158248231,0.6030937785598854,0.579765401384647
67,133.36270785617506,0.13092899322509766,0.04243840730646438,0.05829879901046031,0.04879393842320342,-3.1597014940634462,-2.8421737860015077,-3.0201491864773384,0.14170983734663162,0.10258714071750867,0.12914427096968575,0.11896382368741278,0.5523766487164576,0.6031621405039286,0.5803330377552463
68,133.56756496827902,0.14281600713729858,0.0424997281845975,0.05824564184383123,0.04894054274007151,-3.1582575987287473,-2.843086007466996,-3.0171491311216356,0.1547720391303902,0.10274564931180036,0.12902064276786135,0.11934266545678074,0.5526681652384029,0.6029815510763089,0.5809389589843788
69,133.71807388482728,0.11560499668121338,0.04253775607863403,0.05750725477118108,0.04898290946712898,-3.1573632191054335,-2.855844169204005,-3.0162838280967517,0.1248708619346163,0.10284394777410416,0.1273033679048295,0.11945214576529868,0.5528487368011897,0.6004558605365318,0.5811137242504306
70,133.74783599191616,0.1171709969639778,0.04262313275755317,0.05959561504712395,0.04931357263382878,-3.1553581506123916,-2.8201732806522943,-3.009555928849289,0.12659168196881312,0.10306463830843386,0.13216029016101066,0.12030661595972057,0.5532535518728275,0.6075175068471561,0.5824725581711959
71,133.8542678748736,0.14896099269390106,0.04269611166928156,0.05890334471879103,0.04947986643977645,-3.1536474245032493,-2.8318574035397512,-3.006189430738444,0.16152453743580877,0.10325328180251254,0.1305502695128943,0.1207363375465469,0.5535989404292925,0.6052044401804405,0.5831524898495624
72,154.90715750092053,0.09960349649190904,0.04399399942923744,0.05887698015532562,0.05112271498244336,-3.123702030972251,-2.8323050939996635,-2.973526360337944,0.10728740271942938,0.10660819730017362,0.13048895316027798,0.12498163988145361,0.559644792064556,0.6051158123998356,0.5897494507111984
73,155.01973590599178,0.09280379861593246,0.04402003846194138,0.05839013315856781,0.05112309816525055,-3.123110329146326,-2.8406083561863316,-2.973518865012798,0.0998154651596158,0.1066755057046889,0.1293566877934507,0.12498263006820778,0.5597642542265128,0.6034720434003157,0.5897509645421404
74,155.14679098815273,0.105772003531456,0.04399763711216944,0.05544379981840958,0.05086329212859648,-3.1236193485020287,-2.892385387156097,-2.978613791853822,0.11406574791614826,0.10661760036199504,0.12250436823020755,0.12431126253469194,0.5596614853147979,0.5932219180300804,0.5887219420849431
75,155.18472149963117,0.1050800010561943,0.0440294620120628,0.05593433085873581,0.05095901752043903,-3.122896277956786,-2.88357693959138,-2.976733547330315,0.11330533188286249,0.10669986467880113,0.12364520161731674,0.12455862753453503,0.559807470280193,0.5949656968865431,0.589101695102029
77,156.44791266975903,0.10796300321817398,0.04410435115977772,0.0569238134809678,0.05113699151213824,-3.1211968356418853,-2.866041510798658,-2.9732471393177198,0.11647335677632525,0.10689344594986878,0.12594645213686767,0.12501853201318333,0.5601505806850685,0.5984371269816985,0.5898058449852082
78,164.82804857256764,0.10744299739599228,0.0422510970646004,0.04567829235501158,0.04462575102542883,-3.1641249594900205,-3.086132097104336,-3.1094442093224655,0.1159019415303908,0.10210296169010075,0.09979262108185355,0.10819276644596088,0.551483569263182,0.5548665309048564,0.5622981205345068
79,164.85142153166646,0.09664739668369292,0.0422809344378275,0.04677125023923265,0.04474031421593318,-3.163419017045815,-3.0624865759524353,-3.1068802997902965,0.10403905351473836,0.10218008844091662,0.10233452514605786,0.10848881040102501,0.5516260961355133,0.559547555515809,0.5628159533845452
80,166.08485059469666,0.10181800276041032,0.0422805423871551,0.04630913240228455,0.04469573290670063,-3.1634282896055463,-3.072416093230193,-3.107877242619486,0.10972084209656949,0.10217907502749421,0.1012597726557395,0.10837360736723171,0.551624224043889,0.5575818422437915,0.5626146008250702
81,168.79756960540834,0.09032169729471208,0.04200094322534127,0.03969646599154788,0.04325253635950429,-3.1700632032047196,-3.2264931130964576,-3.1406994031733615,0.09708797543469536,0.10145633798501363,0.08588062230846133,0.10464422787032691,0.5502846623115688,0.5270797307723232,0.5559855085225616
82,168.88515754556147,0.09829150140285492,0.04199142776068088,0.03998674908793073,0.04322015997336249,-3.170289782466369,-3.219207152552888,-3.1414482265367516,0.10584569963746907,0.10143174142062529,0.08655573686970652,0.10456056370767652,0.5502389168917218,0.528522107973476,0.5558342686556418
83,169.05434865433375,0.11268799751996994,0.04199313528795046,0.04054400558189673,0.04320464448106457,-3.1702491195824334,-3.20536733716838,-3.1418072783752264,0.1216654789907882,0.10143615521500425,0.08785175437163062,0.10452046995955008,0.5502471265605339,0.5312619298623548,0.5557617509499676
84,169.22944365934313,0.09724230319261552,0.04193906890114959,0.0381087141251842,0.04284184684955106,-3.1715374544903874,-3.267312305804837,-3.150239923931464,0.10469277436670459,0.10129639878569101,0.08218797048690085,0.10358296075394634,0.5499870170481322,0.5189988919344029,0.5540586093894089
85,169.26025714522416,0.04174080118536949,0.04191948494487213,0.03754382933968174,0.04275280825087395,-3.172004525665248,-3.282246246108658,-3.152320395677944,0.04370421795757875,0.10124577613522161,0.08087421178420463,0.1033528751672086,0.5498927173013818,0.5160424698005195,0.5536384164768325
86,169.3746956819894,0.10252799838781355,0.04188657900330281,0.03692022011272769,0.04257360347233966,-3.172789813548013,-3.298995907482059,-3.1565208545605725,0.11050103014204728,0.10116071742926709,0.0794238770079479,0.10288979019925225,0.5497341709117592,0.5127265954490797,0.5527900497277842
87,169.4563797259,0.08104170113801956,0.04192421641183126,0.04004297238375475,0.04280065907241845,-3.171891661684112,-3.217802091931915,-3.151201777624666,0.08689052944476482,0.10125800652394827,0.08668649600161937,0.10347652698242725,0.549915504074386,0.5288002631177168,0.5538643437833017
88,169.47934830854717,0.11414799839258194,0.04196216988761758,0.04293085883123644,0.04308502242504614,-3.170986783549523,-3.148164391559413,-3.144579849806705,0.12326982017717707,0.10135611262220592,0.09340288498951331,0.10421135333648208,0.5500981952433652,0.5425862053771299,0.5552017746527218
89,171.12888074378156,0.08621759712696075,0.04196172734547029,0.04349756305769525,0.04305967709837957,-3.170997329822084,-3.1350503641189484,-3.1451682859504984,0.0925781309163087,0.10135496869315896,0.094720875185873,0.10414585820915775,0.5500960659943659,0.5451823454580851,0.5550829281951604
90,171.17497965965296,0.09110250324010848,0.04199293194322658,0.04525724637797296,0.04323427154148786,-3.170253961926659,-3.095392480707716,-3.141121775526585,0.09794597433063824,0.10143562958837722,0.09881338986379605,0.10459702956046572,0.5502461489111761,0.5530332837847859,0.5559002019714907
91,171.3350318605336,0.09454470127820969,0.04203630992337622,0.0471498526804594,0.04345692726248625,-3.169221512197511,-3.054424394394097,-3.135985009311337,0.10172847897692168,0.10154775751064547,0.1032150449702575,0.10517239656946603,0.5504545962597419,0.5611435985909483,0.5569376747277827
92,171.38695379736805,0.1062059998512268,0.04208216357272451,0.04941183494572066,0.04374064885746975,-3.1681312961727963,-3.007565309681467,-3.1294774294249397,0.11454265048765415,0.10166628480057703,0.10847576177941745,0.10590556455078927,0.5506747063854942,0.5704201346155691,0.5582520107435993
93,171.63394693607688,0.20655499398708344,0.04214223729843666,0.05154433236428112,0.0440840463701911,-3.166704779978486,-2.9653130190003365,-3.1216573222935113,0.2248124642425091,0.10182156962536094,0.11343533426926429,0.10679294170376197,0.5509627141305644,0.5787846790583377,0.5598314379085068
94,171.6596652786206,0.12659600377082825,0.04220029616039782,0.05453358007326514,0.04447894088545947,-3.165328039945891,-2.9089386189209594,-3.1127394403516364,0.13694847482139122,0.10197164622041002,0.1203874602478377,0.107813392806935,0.5512406722735682,0.5899449301902122,0.5616325826697885
